id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
120,C23H47OH (Alkohol Alifatik),74.0,390.85,Netral,Tidak Ada,0.0,Senyawa Kovalen,340.636,0.847,757.2,-900.0285000000001
121,C23H48 (Alkana/Parafin),49.0,381.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,324.637,0.8,740.4,-668.3445039157721
122,C24H46 (Alkuna),134.06,389.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,334.632,0.818,726.0,-626.3482334384857
123,C24H48 (Alkena/Olefin),46.25,390.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,336.648,0.81,748.8,-563.9991114551084
124,C24H49COOH (Asam Lemak/Karboksilat),57.4,556.67,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,382.673,0.867,813.6,-1014.2596011019916
125,C24H49Cl (Kloroalkana),180.0,580.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,373.106,0.802,782.8,-691.5674783465588
126,C24H49F (Fluoroalkana),87.68,385.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,356.654,0.802,781.2,-691.5674783465588
127,C24H49NH2 (Amina),-39.0,379.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,353.679,0.823,809.0,-585.0
128,C24H49OH (Alkohol Alifatik),132.91,250.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,354.663,0.848,788.4,-933.0023928571429
129,C24H50 (Alkana/Parafin),52.5,391.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,338.664,0.802,771.6,-691.5674783465588
130,C25H48 (Alkuna),145.33,399.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,348.659,0.82,757.2,-662.6901577287066
131,C25H50 (Alkena/Olefin),96.6,401.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,350.675,0.812,780.0,-590.8276346749226
132,C25H51COOH (Asam Lemak/Karboksilat),136.96,579.11,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,396.7,0.866,844.8,-1042.1340239912759
133,C25H51Cl (Kloroalkana),195.0,610.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,387.133,0.804,814.0,-714.7904527773455
134,C25H51F (Fluoroalkana),98.95,395.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,370.681,0.804,812.4,-714.7904527773455
135,C25H51NH2 (Amina),115.83,510.45,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,367.706,0.824,840.2,-610.0799704212967
136,C25H51OH (Alkohol Alifatik),245.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,368.69,0.848,819.6,-965.9762857142857
137,C25H52 (Alkana/Parafin),53.5,401.9,Netral,Tidak Ada,0.0,Senyawa Kovalen,352.691,0.804,802.8,-714.7904527773455
138,C26H50 (Alkuna),156.6,409.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,362.686,0.822,788.4,-699.0320820189274
139,C26H52 (Alkena/Olefin),107.87,411.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,364.702,0.814,811.2,-617.6561578947368
140,C26H53COOH (Asam Lemak/Karboksilat),86.8,689.72,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,410.727,0.865,876.0,-1070.00844688056
141,C26H53Cl (Kloroalkana),139.55,558.76,Netral,Tidak Ada,0.0,Senyawa Kovalen,401.16,0.806,845.2,-738.0134272081323
142,C26H53F (Fluoroalkana),110.22,404.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,384.708,0.806,843.6,-738.0134272081323
143,C26H53NH2 (Amina),162.29,571.5,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,381.733,0.825,871.4,-633.0493772483812
144,C26H53OH (Alkohol Alifatik),155.45,613.07,Netral,Tidak Ada,0.0,Senyawa Kovalen,382.717,0.848,850.8,-998.9501785714288
145,C26H54 (Alkana/Parafin),56.7,415.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,366.718,0.806,834.0,-738.0134272081323
146,C27H52 (Alkuna),167.87,419.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,376.713,0.824,819.6,-735.3740063091482
147,C27H54 (Alkena/Olefin),47.85,658.1,Netral,Tidak Ada,0.0,Senyawa Kovalen,378.729,0.816,842.4,-644.484681114551
148,C27H55COOH (Asam Lemak/Karboksilat),159.5,624.87,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,424.754,0.865,907.2,-1097.8828697698443
149,C27H55Cl (Kloroalkana),150.82,581.64,Netral,Tidak Ada,0.0,Senyawa Kovalen,415.187,0.807,876.4,-761.2364016389192
150,C27H55F (Fluoroalkana),121.49,413.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,398.735,0.807,874.8,-761.2364016389192
151,C27H55NH2 (Amina),153.37,398.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,395.76,0.825,902.6,-656.0187840754656
152,C27H55OH (Alkohol Alifatik),275.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,396.744,0.848,882.0,-1031.9240714285716
153,C27H56 (Alkana/Parafin),59.25,442.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,380.745,0.807,865.2,-761.2364016389192
154,C28H54 (Alkuna),179.14,428.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,390.74,0.825,850.8,-771.715930599369
155,C28H56 (Alkena/Olefin),31.0,430.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,392.756,0.817,873.6,-671.3132043343653
156,C28H57COOH (Asam Lemak/Karboksilat),66.0,648.19,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,438.781,0.864,938.4,-1125.7572926591286
157,C28H57Cl (Kloroalkana),240.0,700.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,429.214,0.809,907.6,-784.459376069706
158,C28H57F (Fluoroalkana),132.76,422.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,412.762,0.809,906.0,-784.459376069706
159,C28H57NH2 (Amina),215.43,468.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,409.787,0.826,933.8,-678.9881909025502
160,C28H57OH (Alkohol Alifatik),83.3,659.27,Netral,Tidak Ada,0.0,Senyawa Kovalen,410.771,0.848,913.2,-1064.8979642857144
161,C28H58 (Alkana/Parafin),63.25,432.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,394.772,0.809,896.4,-784.459376069706
162,C29H56 (Alkuna),190.41,437.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,404.767,0.827,882.0,-808.0578548895899
163,C29H58 (Alkena/Olefin),141.68,586.65,Netral,Tidak Ada,0.0,Senyawa Kovalen,406.783,0.819,904.8,-698.1417275541795
164,C29H59COOH (Asam Lemak/Karboksilat),137.04,669.31,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,452.808,0.864,969.6,-1153.631715548413
165,C29H59Cl (Kloroalkana),255.0,730.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,443.241,0.81,938.8,-807.6823505004927
166,C29H59F (Fluoroalkana),144.03,430.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,426.789,0.81,937.2,-807.6823505004927
167,C29H59NH2 (Amina),24.5,602.41,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,423.814,0.826,965.0,-683.51
168,C29H59OH (Alkohol Alifatik),84.0,682.15,Netral,Tidak Ada,0.0,Senyawa Kovalen,424.798,0.848,944.4,-1097.8718571428572
169,C29H60 (Alkana/Parafin),64.85,443.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,408.799,0.81,927.6,-807.6823505004927
170,C2H2 (Gas Etuna),-80.75,-84.15,Netral,Tidak Ada,0.0,Senyawa Kovalen,26.038,,39.6,228.32
171,C2H4 (Gas Etena),-169.1,-103.77,Netral,Tidak Ada,0.0,Senyawa Kovalen,28.054,,62.4,52.56
172,C2H5COOH (Asam Lemak/Karboksilat),-45.0,160.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,74.079,0.315,127.2,-298.0
173,C2H5Cl (Kloroalkana),-138.85,12.3,Netral,Tidak Ada,0.0,Senyawa Kovalen,64.512,0.275,96.4,-111.24
174,C2H5F (Fluoroalkana),-143.2,-37.54,Netral,Tidak Ada,0.0,Senyawa Kovalen,48.06,0.275,94.8,-272.54
175,C2H5NH2 (Amina),-81.1,16.6,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,45.085,0.64,122.6,-47.5
176,C2H5OH (Etanol Alkohol),-114.1,78.2,Netral,Tidak Ada,0.0,Senyawa Kovalen,46.069,0.82,102.0,-184.02
177,C2H6 (Gas Etana),-182.85,-88.58,Netral,Tidak Ada,0.0,Senyawa Kovalen,30.07,1.3562,85.2,-83.78
178,C30H58 (Alkuna),201.68,446.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,418.794,0.828,913.2,-844.3997791798106
179,C30H60 (Alkena/Olefin),110.5,448.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,420.81,0.82,936.0,-724.9702507739937
180,C30H61COOH (Asam Lemak/Karboksilat),109.45,781.24,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,466.835,0.863,1000.8,-1181.5061384376972
181,C30H61Cl (Kloroalkana),184.63,650.28,Netral,Tidak Ada,0.0,Senyawa Kovalen,457.268,0.812,970.0,-830.9053249312794
182,C30H61F (Fluoroalkana),155.3,438.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,440.816,0.812,968.4,-830.9053249312794
183,C30H61NH2 (Amina),237.97,486.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,437.841,0.827,996.2,-724.9270045567191
184,C30H61OH (Alkohol Alifatik),88.0,705.03,Netral,Tidak Ada,0.0,Senyawa Kovalen,438.825,0.848,975.6,-1130.8457500000002
185,C30H62 (Alkana/Parafin),66.0,451.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,422.826,0.812,958.8,-830.9053249312794
186,C31H60 (Alkuna),212.95,455.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,432.821,0.83,944.4,-880.7417034700316
